Label,Text
__label__1,ouch ! : ears rabbit sharp time felt like cut wards . ears sharp toy higher list favorites .
__label__1,". : heard good things book , wait read . unfortunately , found slow . read paperback version , honest , bring finish book . major disappointment ."
__label__1,fored read : scarlet letter good long discriptive book . tell anybody read classic books hawthorne fan . book house seven gables based unlying rule hawthorne description . books long gotton plot . wrong plot book good movie better . read deal . know hold attenion long fell asleep couple times .
__label__1,"ethanol drinking : recommend book . looking alternative fuel consider biodiesel , electric power . ethanol waste . , book provides useless diagrams home ."
__label__2,"breath taking ! ! ! : boyfriend bought christmas , ( ) little disappointed rotation thought stronger thought thing absolutely amazing . boyfriend little jealous guess lol . ve shower twice problems . like people stated new rubber smell faint begin fade nt smell right face . far width ... wet lubricated ve hard time getting . times gave bother hurt actually pleasurable . deff . toy people inexperienced sure . great product especially price pleased . : ) ! ! ! ill probably buy soon lol"
__label__1,"avatar - 3d special feets ! ! ! ! ! ! ! booooo ! : booooo!don't buy special features available years end , clever studio scheme capitolizing consumers ! yes , probably factored 1 million copies sold - 10 - 60 % double dip generating flow revenue impatient believe 90 % americans impatient , know rabbit tail ! blue red pill ! ! ! rabbit holes running deep , peoples pockets succorred buying bare - boned optimus ... hope truly helps , seriously .."
__label__2,slavery exists : excellent book . read pages . touched mr bok description childhood slave . years ago heard sudan problems ; reading book little idea problems general slavery particular . strongly recommend book .
__label__1,"hated returned : huge fan sophie kinsella normally love books madeline wickham , . book , , drove nuts ! 1/4 way returned store - luckily cracked spine , took refunded money . book terrible past 1/4 - characters horrible , shallow people , plot - . clearly , book sophie earlier works - "" plot "" terrible . waste money - chance case crack spine - wo able return ! spend money sophie kinsella novels instead - "" remember "" hysterical great , easy read . "" cocktails 3 "" painful trash ."
__label__1,"manhattan transfer sing ! : understand manhattan transfer gets studio musicians play albums . mean , makes singing sound worse best drumming ( steve gadd ) , bass playing sax playing world . stars kafka studio musicians ."
__label__1,"time human slaves meet masters ! ! ! : masters michael bay computers!!!and blame!!!this movie like 2.5 hours car crash . think worse - does.it deserve 2 stars human actors . michael bay actually controlled computers , humans movie suffer more!!!this . transformers iv coming soon theaters near . preorder tickets ! ! !"
__label__2,fun fantasy : love story line movie - male fairy godmother ! fun . kathleen turner ' wicked witch ' . fairy tale concept .
__label__1,"hmmm . : , guess heard kind stuff fine , certainly future music . listen papalotl instead ."
__label__1,memory problems : kingston memory recognized computer year half old . went simpletech memory instead works fine . recommend product .
__label__2,"good stuff : trouble finding perfect toner skin type . oily skin extremely sensitve burning tingly toners contain alcohol ingredients . tried lot toners , truly best ones imo . gentle produce burning tingly sensation application . great , light , clean scent effective job wiping away remaining oils / dirt face . like use cleansing prior day / night moisturizers ."
__label__1,"buy gun ! ! ! ! ! : hate gun . barely shoots feet 50 feet second . looks shoots cool , sucks . recomend"
__label__2,"mia : hip hop nice , nice fighter : "" got beats ya burn "" - future hip hop . 10 songs ( plus "" hidden "" bonus track ) fascinating fun . "" extra "" - release track "" u.r.a.q.t . "" samples theme tv "" sanford & son "" . favorite tracks "" hombre "" , "" 10 dollar "" , steel - drum laden "" bingo "" ."
__label__1,"caution ! : tracks "" original "" versions - recorded versions . , tracks "" remastered "" irrelevant ."
__label__1,battery problems : worked fine ... battery died year . replace essentially player useless . recommend .
__label__1,"better alexandra stoddard .... : like alexandra stoddard books , alike . stoddard books wordy point . stopped reading book similarities clear , . looking "" guidance "" area , try stoddard . better books . - read refreshers finding "" gems "" forgot ."
